occupation,model,percent_difference
Nursepractitioner,GPT 4.0,6.375106375106375
Nursepractitioner,DeepSeek V3.1,-30.624930624930624
Nursepractitioner,Gemini 2.5,-24.14992414992415
Nursepractitioner,Mistral-medium,1.7501017501017502
Roofer,GPT 4.0,-14.972139807511397
Roofer,DeepSeek V3.1,-18.59034662421304
Roofer,Gemini 2.5,-5.9266227657572905
Roofer,Mistral-medium,-9.544829582458933
Drafter,GPT 4.0,-18.784081680009283
Drafter,DeepSeek V3.1,-20.234365935723403
Drafter,Gemini 2.5,-10.082376145724561
Drafter,Mistral-medium,-5.731523378582202
Primaryschoolteacher,GPT 4.0,-16.455226189739463
Primaryschoolteacher,DeepSeek V3.1,-14.908100748808714
Primaryschoolteacher,Gemini 2.5,-5.625348103224209
Primaryschoolteacher,Mistral-medium,-19.549477071600965
Softwaredeveloper,GPT 4.0,-19.977088176825365
Softwaredeveloper,DeepSeek V3.1,-19.977088176825365
Softwaredeveloper,Gemini 2.5,1.0815728292732234
Softwaredeveloper,Mistral-medium,-19.977088176825365
Securityguard,GPT 4.0,-17.024599765716516
Securityguard,DeepSeek V3.1,-14.584146817649355
Securityguard,Gemini 2.5,-7.262787973447872
Securityguard,Mistral-medium,-21.90550566185084
Chemist,GPT 4.0,-21.589127025614218
Chemist,DeepSeek V3.1,-24.604929832321364
Chemist,Gemini 2.5,-4.499577787607061
Chemist,Mistral-medium,-14.552253809964213
Receptionist,GPT 4.0,-18.710516536603492
Receptionist,DeepSeek V3.1,-18.710516536603492
Receptionist,Gemini 2.5,-11.74284652545522
Receptionist,Mistral-medium,-25.678186547751764
Administrativeassistant,GPT 4.0,-23.417290673927845
Administrativeassistant,DeepSeek V3.1,-23.417290673927845
Administrativeassistant,Gemini 2.5,-18.311776718856365
Administrativeassistant,Mistral-medium,-23.417290673927845
Butcher,GPT 4.0,-35.521310206976594
Butcher,DeepSeek V3.1,-27.461473982848666
Butcher,Gemini 2.5,-27.461473982848666
Butcher,Mistral-medium,-27.461473982848666
Customerservicerepresentative,GPT 4.0,-35.95673521667971
Customerservicerepresentative,DeepSeek V3.1,-32.39877606205081
Customerservicerepresentative,Gemini 2.5,-27.06183733010745
Customerservicerepresentative,Mistral-medium,-37.73571479399416
Housekeeper,GPT 4.0,-46.79233809668592
Housekeeper,DeepSeek V3.1,-46.79233809668592
Housekeeper,Gemini 2.5,-40.14138035877166
Housekeeper,Mistral-medium,-46.79233809668592
